2.57;0.02342;0.0430;0.0020;0.009
2.58;0.00791;0.0180;0.0050;0.013
2.59;-0.00961;-0.0850;-0.0150;-0.011
2.60;0.02337;0.0710;0.0090;0.034
2.61;0.01983;0.0320;0.0040;0.028
2.62;-0.0109;0.0690;-0.0030;0.009
2.63;0.05791;0.0310;0.0100;0.027
2.64;0.03147;0.0250;0.0010;-0.008
2.65;0.01108;-0.0170;0.0030;-0.016
2.66;0.01428;-0.0270;0.0120;0.002
2.67;0.00006;-0.0830;0.0170;-0.003
2.68;0.0221;-0.0180;0.0050;0.041
2.69;-0.01263;0.0810;0.0070;-0.031
2.70;-0.03416;-0.0890;-0.0020;0.001
2.71;0.00786;0.0100;0.0260;0.063
2.72;0.04127;0.0480;0.0070;0.028
2.73;-0.00289;0.0430;0.0080;0.01
2.74;0.04501;-0.0120;-0.0060;-0.019
2.75;0.00755;-0.0240;-0.0030;-0.008
2.76;0.00205;0.0600;-0.0070;0.02
2.77;0.0187;0.0590;-0.0010;-0.009
2.78;-0.00327;0.0340;0.0080;0.017
2.79;0.01175;-0.0050;0.0020;0.017
2.80;0.00021;0.0300;0.0080;0.005
2.81;0.00293;0.0250;0.0060;0.014
2.82;0.02196;0.0090;0.0000;-0.003
2.83;0.01666;0.0130;0.0040;0.017
2.84;0.01074;-0.0110;0.0000;-0.003
2.85;-0.00447;0.0340;0.0080;0.025
2.86;0.02499;0.0280;0.0070;0.003
2.87;0.02476;0.0090;0.0020;0.009
2.88;-0.01755;0.0270;-0.0080;0.002
2.89;0.02341;-0.0080;-0.0060;0.043
2.90;0.00109;-0.0160;0.0030;0.001
2.91;-0.01335;0.0020;0.0020;-0.015
2.92;-0.0042;-0.0030;-0.0010;0.025
2.93;0.01656;0.0410;0.0020;0.024
2.94;0.01844;-0.0310;0.0030;0.012
2.95;0.00624;0.0010;0.0050;0.035
2.96;-0.0042;0.0630;0.0050;0.014
2.97;0.00161;0.0280;0.0030;0.024
2.98;0.00899;0.0100;0.0040;0.029
2.99;-0.00796;-0.0190;0.0050;0.009
3.00;0.01136;-0.0080;0.0020;0.038
3.01;0.01161;0.0200;0.0120;0.002
3.02;0.00569;-0.0090;-0.0020;0.016
3.03;0.01502;0.0170;0.0040;0.038
3.04;-0.00288;0.0170;0.0070;0.007
3.05;-0.00034;0.0050;0.0040;-0.02
3.06;-0.01203;0.0140;0.0110;0.011
3.07;0.01264;-0.0030;0.0010;0.031
3.08;0.00983;0.0170;0.0030;0.022
3.09;0.0055;-0.0030;0.0030;0.002
3.10;0.00199;0.0250;0.0020;-0.012
3.11;-0.00332;0.0030;0.0140;0.002
3.12;0.00413;0.0090;-0.0040;-0.006
3.13;0.01477;0.0020;0.0020;-0.002
3.14;-0.00992;0.0430;0.0040;0.004
3.15;-0.00423;0.0010;0.0050;-0.005
3.16;0.00552;-0.0150;0.0090;-0.01
3.17;0.01287;0.0250;0.0020;0.012
3.18;0.00273;0.0240;0.0010;0.006
3.19;-0.00509;0.0120;0.0010;-0.01
3.20;0.01643;0.0350;0.0040;0.019
3.21;-0.00311;0.0140;0.0030;-0.005
3.22;0.0063;0.0240;0.0060;0.023
3.23;0.00457;0.0290;0.0020;0.018
3.24;0.01945;0.0090;-0.0020;-0.002
3.25;0.01607;0.0380;0.0090;-0.008
3.26;0.00964;0.0020;0.0080;0.014
3.27;0.00196;0.0160;0.0030;0.011
3.28;-0.00784;0.0380;0.0000;-0.008
3.29;0.00043;0.0070;-0.0020;0.005
3.30;0.00791;-0.0200;0.0040;-0.007
3.31;-0.00733;0.0110;0.0050;0.016
3.32;-0.01209;0.0310;0.0070;0.002
3.33;0.00288;0.0220;0.0050;0.006
3.34;0.01226;0.0020;-0.0010;-0.008
3.35;0.02404;-0.0120;0.0010;0.011
3.36;-0.01498;0.0020;0.0000;0.009
3.37;-0.00435;-0.0060;0.0080;0.006
3.38;-0.00132;-0.0020;0.0030;0.012
3.39;0.00109;0.0040;-0.0010;0
3.40;0.01416;-0.0050;0.0050;0
3.41;0.00779;-0.0100;0.0120;0.017
3.42;-0.00929;0.0120;0.0010;0.034
3.43;0.00065;0.0060;0.0090;0.03
3.44;-0.00137;-0.0100;0.0110;0.017
3.45;-0.00641;0.0190;0.0100;0.016
3.46;0.00021;-0.0050;0.0040;-0.006
3.47;0.01148;0.0230;0.0070;-0.002
3.48;0.001;0.0180;0.0050;-0.004
3.49;0.00443;-0.0020;0.0080;0.011
3.50;0.00802;-0.0080;0.0080;-0.001
3.51;0.01085;0.0140;0.0070;0.008
3.52;0.01833;0.0110;0.0060;0.001
3.53;0.00792;-0.0080;0.0080;0.009
3.54;-0.00002;0.0050;0.0060;-0.003
3.55;0.01384;-0.0070;0.0040;0.005
3.56;0.01627;0.0160;0.0080;0.003
3.57;0.00033;0.0020;0.0080;-0.003
3.58;0.00191;0.0060;0.0120;0.012
3.59;0.00147;-0.0080;0.0120;0.006
3.60;-0.00931;0.0110;0.0110;-0.006
3.61;0.00813;0.0090;0.0110;0.009
3.62;0.01485;0.0060;0.0050;0.01
3.63;0.00672;0.0120;0.0060;0.001
3.64;0.0006;0.0000;0.0050;0.01
3.65;0.00771;0.0000;0.0050;-0.003
3.66;0.02791;0.0170;0.0040;0.004
3.67;0.00102;0.0340;0.0050;0.007
3.68;0.02311;0.0300;0.0030;0.009
3.69;0.00286;0.0170;0.0100;0.005
3.70;0.014;0.0160;0.0040;0.002
3.71;0.00057;-0.0060;0.0090;-0.012
3.72;0.00455;-0.0020;0.0020;-0.004
3.73;0.0207;-0.0040;0.0030;0.004
3.74;-0.00306;0.0110;0.0090;0.005
3.75;-0.0088;-0.0010;0.0070;0.015
3.76;-0.01685;0.0080;0.0000;0.002
3.77;0.00666;0.0010;0.0020;0.01
3.78;-0.00359;0.0090;-0.0020;0.013
3.79;0.0014;-0.0030;-0.0010;-0.002
3.80;-0.00287;0.0050;-0.0030;0.005
3.81;-0.00489;0.0030;-0.0070;0
3.82;0.00141;-0.0030;0.0030;0.016
3.83;0.00221;0.0120;0.0010;-0.002
3.84;-0.00668;0.0060;0.0000;0
3.85;-0.01113;-0.0060;-0.0040;0
3.86;-0.00499;0.0090;-0.0010;-0.022
3.87;0.00681;0.0100;0.0020;0.006
3.88;-0.00584;0.0010;0.0130;0.003
3.89;0.02625;0.0100;0.0130;0.003
3.90;0.01753;-0.0030;0.0030;-0.002
3.91;0.02178;0.0040;-0.0010;0.001
3.92;0.01748;0.0070;0.0010;0.013
3.93;0.01852;0.0090;-0.0020;0.003
3.94;0.05688;0.0050;-0.0010;0.007
3.95;0.13922;0.0020;-0.0010;0.009
3.96;0.06981;-0.0120;-0.0020;0.015
3.97;0.03566;-0.0040;-0.0040;-0.006
3.98;0.00087;0.0040;0.0030;0.004
3.99;0.02081;0.0050;0.0160;0.006
4.00;0.00925;0.0150;0.0200;-0.009
4.01;0.00612;0.0020;0.0720;0.003
4.02;-0.00331;0.0100;0.4460;0.009
4.03;0.02506;0.0130;2.5030;-0.007
4.04;0.0165;-0.0020;3.4530;0.007
4.05;0.01011;0.0050;1.9230;-0.016
4.06;0.02253;0.0000;2.3580;0.012
4.07;0.0354;0.0160;4.2260;-0.003
4.08;0.09883;-0.0020;3.0610;0.006
4.09;0.34433;0.0000;0.8800;0.001
4.10;3.01089;0.0000;0.2790;0.005
4.11;6.28707;-0.0220;0.1540;0.007
4.12;2.12108;0.0060;0.1260;-0.007
4.13;1.73912;0.0030;0.1380;0.009
4.14;3.62948;0.0030;0.2290;0.004
4.15;6.81892;-0.0020;0.3790;0.002
4.16;2.13815;0.0010;0.3290;0.015
4.17;0.56865;0.0130;0.1330;-0.001
4.18;0.28421;0.0030;0.0510;-0.01
4.19;0.20328;0.0070;0.0240;-0.001
4.20;0.2197;0.0090;0.0190;-0.006
4.21;0.30646;0.0150;0.0140;0.007
4.22;0.50172;-0.0060;0.0360;-0.028
4.23;0.67274;0.0040;0.0390;-0.108
4.24;0.26568;0.0060;-0.0010;0.098
4.25;0.06017;-0.0090;0.0320;-0.011
4.26;0.03335;0.0030;0.0430;0.019
4.27;0.04103;0.0090;0.0440;0.074
4.28;-0.00219;-0.0070;0.0190;0.012
4.29;-0.03876;0.0070;0.0220;0.003
4.30;0.01286;-0.0160;0.0120;0.014
4.31;-0.00541;0.0120;0.0030;0.006
4.32;0.01774;-0.0030;-0.0020;0.02
4.33;-0.00427;0.0060;0.0080;0.024
4.34;0.02846;0.0010;-0.0060;0.02
4.35;0.0363;0.0050;0.0000;0.008
4.36;0.01663;0.0070;0.0020;-0.003
4.37;0.00457;-0.0070;0.0110;0.014
4.38;0.00504;0.0090;-0.0030;0.027
4.39;0.0018;0.0040;0.0030;0.006
4.40;0.00544;0.0020;0.0020;0.004
4.41;0.00325;0.0150;0.0030;-0.002
4.42;0.00932;-0.0010;0.0010;0.001
4.43;-0.00049;-0.0100;-0.0020;0.001
4.44;0.01051;-0.0010;0.0020;0.013
4.45;0.00773;-0.0060;0.0010;-0.001
4.46;-0.00026;0.0070;0.0010;0.01
4.47;0.00241;-0.0280;0.0040;0.005
4.48;0.00165;-0.1080;0.0000;0.001
4.49;-0.00986;0.0980;0.0000;-0.026
4.50;0.00557;-0.0110;0.0000;0.004
4.51;0.00373;0.0190;0.0090;0.007
4.52;-0.00072;0.0740;0.0020;0.004
4.53;0.00106;0.0120;0.0050;-0.01
4.54;-0.00956;0.0030;0.0010;0.021
4.55;-0.00341;0.0140;0.0020;-0.002
4.56;-0.01154;0.0060;-0.0010;0.008
4.57;-0.00027;0.0200;-0.0010;0.005
4.58;-0.00339;0.0240;0.0040;-0.005
4.59;-0.00078;0.0200;-0.0020;0.013
4.60;-0.00427;0.0080;-0.0030;0.016
4.61;0.00983;-0.0030;0.0030;0.021
4.62;-0.00048;0.0140;0.0130;0.014
4.63;0.00116;0.0270;0.0090;0.012
4.64;-0.00323;0.0060;0.0100;0.002
4.65;0.00244;0.0040;0.0110;-0.001
4.66;-0.0005;-0.0020;0.0080;-0.005
4.67;0.02306;0.0010;0.0050;0.024
4.68;0.03401;0.0010;-0.0030;0.005
4.69;0.00912;0.0130;-0.0010;0.015
4.70;-0.00198;-0.0010;0.0040;-0.008
4.71;0.0046;0.0100;0.0050;0.005
4.72;0.00979;0.0050;0.0130;0.007
4.73;0.0028;0.0010;0.0080;0.03
4.74;0.00381;-0.0260;0.0080;0.022
4.75;0.00025;0.0040;0.0080;0.005
4.76;0.01285;0.0070;0.0130;0.019
4.77;0.01912;0.0040;0.0110;0.012
4.78;0.02006;-0.0100;0.0090;0.027
4.79;-0.00421;0.0210;0.0050;0.036
4.80;-0.00376;-0.0020;0.0090;0.014
4.81;-0.0076;0.0080;0.0090;0.002
4.82;-0.00946;0.0050;0.0020;0.014
4.83;0.00622;-0.0050;0.0060;0.027
4.84;-0.00451;0.0130;0.0050;0.019
4.85;0.00599;0.0160;0.0120;0.008
4.86;-0.00211;0.0210;0.0060;-0.014
4.87;-0.0069;0.0140;-0.0030;0
4.88;-0.00711;0.0120;0.0040;0.011
4.89;-0.0008;0.0020;0.0090;0.011
4.90;-0.00268;-0.0010;0.0020;-0.004
4.91;-0.00383;-0.0050;0.0080;-0.007
4.92;-0.00653;0.0240;0.0080;0.005
4.93;-0.01181;0.0050;0.0030;0.003
4.94;0.00472;0.0150;0.0050;0.007
4.95;0.01754;-0.0080;0.0050;0.005
4.96;0.02117;0.0050;-0.0030;0.007
4.97;0.01264;0.0070;-0.0020;0.002
4.98;0.01297;0.0300;0.0030;-0.01
4.99;0.00819;0.0220;0.0010;0.006
5.00;0.00291;0.0050;0.0000;0.003
5.01;0.01167;0.0190;-0.0010;-0.006
5.02;0.08567;0.0120;0.0050;0.034
5.03;0.00323;0.0270;-0.0040;0.023
5.04;0.01056;0.0360;-0.0050;0.04
5.05;0.00939;0.0140;-0.0030;0.056
5.06;0.01334;0.0020;0.0000;0.038
5.07;0.01696;0.0140;0.0000;0.01
5.08;-0.01016;0.0270;-0.0020;0.014
5.09;-0.00125;0.0190;-0.0070;0.011
5.10;0.01081;0.0080;-0.0040;0.02
5.11;0.00095;-0.0140;-0.0010;0.027
5.12;-0.00291;0.0000;-0.0040;0.022
5.13;-0.01292;0.0110;-0.0030;0.013
5.14;-0.01323;0.0110;0.0040;0.014
5.15;0.00595;-0.0040;0.0020;0.011
5.16;-0.00214;-0.0070;-0.0010;0.015
5.17;-0.00432;0.0050;0.0020;0.01
5.18;-0.00181;0.0030;-0.0040;-0.005
5.19;0.00217;0.0070;-0.0030;-0.011
5.20;0.00273;0.0050;-0.0010;0.02
5.21;-0.00337;0.0070;0.0010;0.025
5.22;0.00146;0.0020;0.0080;0.012
5.23;-0.01028;-0.0100;0.0200;0.013
5.24;-0.00534;0.0060;0.0590;0.006
5.25;0.01347;0.0030;0.0690;0.011
5.26;0.01871;-0.0060;0.0240;0.016
5.27;0.0156;0.0340;0.0040;0.023
5.28;-0.01131;0.0230;-0.0030;0.021
5.29;-0.01615;0.0400;-0.0010;0.011
5.30;0.00722;0.0560;-0.0040;0.013
5.31;0.02229;0.0380;-0.0020;0.02
5.32;0.02591;0.0100;-0.0030;0.002
5.33;0.01909;0.0140;-0.0010;0.006
5.34;0.05702;0.0110;0.0010;0.01
5.35;0.06838;0.0200;0.0020;-0.005
5.36;0.01596;0.0270;0.0040;-0.001
5.37;0.02828;0.0220;0.0020;-0.004
5.38;0.01807;0.0130;-0.0020;0.006
5.39;0.00697;0.0140;0.0020;-0.013
5.40;0.00316;0.0110;0.0030;-0.005
5.41;-0.00572;0.0150;0.0010;0.014
5.42;-0.01028;0.0100;0.0020;0
5.43;-0.01115;-0.0050;0.0030;0.008
5.44;0.01322;-0.0110;0.0040;-0.005
5.45;0.00953;0.0200;0.0050;0.008
5.46;-0.00728;0.0250;0.0010;0.038
5.47;-0.01147;0.0120;0.0010;0.038
5.48;-0.01003;0.0130;-0.0040;0.019
5.49;0.01052;0.0060;-0.0040;-0.011
5.50;0.00717;0.0110;-0.0020;0.007
5.51;0.00097;0.0160;0.0030;0.019
5.52;-0.00052;0.0230;0.0000;0.021
5.53;0.00333;0.0210;-0.0060;0.027
5.54;0.00405;0.0110;-0.0030;0.012
5.55;-0.01306;0.0130;0.0030;-0.007
5.56;-0.0193;0.0200;0.0060;-0.005
5.57;-0.00342;0.0020;0.0060;0
5.58;0.00392;0.0060;0.0040;-0.027
5.59;-0.00756;0.0100;0.0010;-0.005
5.60;-0.00683;-0.0050;0.0010;-0.007
5.61;0.00715;-0.0010;0.0050;0.004
5.62;0.01362;-0.0040;0.0050;0.015
5.63;0.00133;0.0060;0.0050;0.017
5.64;-0.01224;-0.0130;0.0080;0.029
5.65;-0.0059;-0.0050;0.0040;0.013
5.66;0.00184;0.0140;0.0040;-0.009
5.67;0.0138;0.0000;0.0050;-0.012
5.68;0.0143;0.0080;0.0060;0.003
5.69;-0.00995;-0.0050;0.0040;0.018
5.70;-0.00667;0.0080;0.0030;0.011
5.71;-0.00352;0.0380;0.0020;0.006
5.72;-0.00767;0.0380;-0.0030;-0.009
5.73;-0.00976;0.0190;-0.0040;-0.001
5.74;-0.01413;-0.0110;0.0000;-0.007
5.75;-0.01656;0.0070;0.0030;-0.001
5.76;-0.00462;0.0190;0.0020;-0.028
5.77;0.00838;0.0210;0.0000;-0.055
5.78;0.00481;0.0270;0.0030;-0.04
5.79;0.00415;0.0120;0.0030;-0.022
5.80;-0.01353;-0.0070;0.0040;-0.001
5.81;-0.01353;-0.0050;0.0030;0.027
