#  AU		  5 mu 		10 mu		15 mu
   0.97324    0.22434    0.43862    0.31454
   0.97969    0.22141    0.43906    0.31641
   0.98613    0.21999    0.43997    0.31846
   0.99258    0.22033    0.44102    0.32036
   0.99902    0.22227    0.44212    0.32233
   1.00547    0.22573    0.44341    0.32430
   1.01191    0.22991    0.44450    0.32644
   1.01836    0.23432    0.44595    0.32854
   1.02480    0.23832    0.44740    0.33065
   1.03125    0.24108    0.44857    0.33294
   1.03770    0.24206    0.44980    0.33526
   1.04414    0.24111    0.45049    0.33772
   1.05059    0.24009    0.45113    0.34008
   1.05703    0.24043    0.45110    0.34264
   1.06348    0.24252    0.45086    0.34525
   1.06992    0.24630    0.45055    0.34793
   1.07637    0.25168    0.44919    0.35075
   1.08281    0.25742    0.44760    0.35341
   1.08926    0.26349    0.44581    0.35623
   1.09570    0.26940    0.44418    0.35911
   1.10215    0.27390    0.44252    0.36197
   1.10859    0.27627    0.44106    0.36479
   1.11504    0.27662    0.43980    0.36749
   1.12148    0.27699    0.43882    0.37020
   1.12793    0.27836    0.43812    0.37294
   1.13438    0.28137    0.43747    0.37552
   1.14082    0.28607    0.43703    0.37796
   1.14727    0.29223    0.43676    0.38030
   1.15371    0.29898    0.43668    0.38243
   1.16016    0.30592    0.43656    0.38454
   1.16660    0.31253    0.43663    0.38648
   1.17305    0.31739    0.43627    0.38819
   1.17949    0.32051    0.43596    0.38963
   1.18594    0.32127    0.43561    0.39097
   1.19238    0.32132    0.43474    0.39208
   1.19883    0.32295    0.43362    0.39322
   1.20527    0.32617    0.43195    0.39442
   1.21172    0.33078    0.43005    0.39549
   1.21816    0.33643    0.42748    0.39655
   1.22461    0.34297    0.42459    0.39782
   1.23105    0.34960    0.42145    0.39898
   1.23750    0.35583    0.41837    0.40035
   1.24395    0.36071    0.41540    0.40174
   1.25039    0.36325    0.41255    0.40320
   1.25684    0.36321    0.40999    0.40458
   1.26328    0.36229    0.40779    0.40623
   1.26973    0.36283    0.40570    0.40787
   1.27617    0.36464    0.40377    0.40959
   1.28262    0.36810    0.40242    0.41150
   1.28906    0.37280    0.40105    0.41332
   1.29551    0.37848    0.39991    0.41529
   1.30195    0.38380    0.39868    0.41713
   1.30840    0.38870    0.39772    0.41908
   1.31484    0.39222    0.39646    0.42098
   1.32129    0.39340    0.39528    0.42294
   1.32773    0.39201    0.39401    0.42481
   1.33418    0.38953    0.39233    0.42666
   1.34063    0.38801    0.39050    0.42832
   1.34707    0.38798    0.38801    0.43007
   1.35352    0.38949    0.38523    0.43160
   1.35996    0.39258    0.38192    0.43304
   1.36641    0.39630    0.37817    0.43427
   1.37285    0.40026    0.37430    0.43546
   1.37930    0.40358    0.37028    0.43641
   1.38574    0.40504    0.36652    0.43705
   1.39219    0.40444    0.36301    0.43754
   1.39863    0.40088    0.35973    0.43782
   1.40508    0.39657    0.35668    0.43792
   1.41152    0.39281    0.35403    0.43788
   1.41797    0.39063    0.35171    0.43794
   1.42441    0.39016    0.34958    0.43788
   1.43086    0.39137    0.34773    0.43801
   1.43730    0.39323    0.34605    0.43805
   1.44375    0.39475    0.34462    0.43809
   1.45020    0.39650    0.34320    0.43832
   1.45664    0.39628    0.34186    0.43856
   1.46309    0.39423    0.34035    0.43891
   1.46953    0.38944    0.33874    0.43936
   1.47598    0.38259    0.33683    0.43979
   1.48242    0.37747    0.33475    0.44048
   1.48887    0.37312    0.33222    0.44112
   1.49531    0.37090    0.32936    0.44188
   1.50176    0.37015    0.32590    0.44263
   1.50820    0.37026    0.32195    0.44342
   1.51465    0.37148    0.31787    0.44447
   1.52109    0.37132    0.31381    0.44532
   1.52754    0.37004    0.30990    0.44623
   1.53398    0.36646    0.30623    0.44703
   1.54043    0.36065    0.30301    0.44788
   1.54688    0.35303    0.29988    0.44875
   1.55332    0.34638    0.29732    0.44951
   1.55977    0.34079    0.29507    0.45007
   1.56621    0.33752    0.29316    0.45052
   1.57266    0.33605    0.29147    0.45096
   1.57910    0.33544    0.29001    0.45118
   1.58555    0.33533    0.28882    0.45127
   1.59199    0.33533    0.28772    0.45111
   1.59844    0.33347    0.28666    0.45073
   1.60488    0.32967    0.28560    0.45020
   1.61133    0.32371    0.28439    0.44944
   1.61777    0.31533    0.28300    0.44846
   1.62422    0.30834    0.28133    0.44738
   1.63066    0.30270    0.27942    0.44619
   1.63711    0.29933    0.27702    0.44510
   1.64355    0.29777    0.27409    0.44401
