,KOIS,host_star,KOIP,Kepname,star_mass,star_radius,CDPP_6h,b,planet_period,planet_radius,e_Rp,T,RpAvg,Prat,Delta
898,K04032, 7100673,K04032.04,Kepler-1542 e,0.93,1.15,37.232,0.044,5.10115756,0.911461537588,0.114370308752,1102.58383246,0.912659060981,1.29105026699,14.4291216589
899,K04136, 7256914,K04136.01,             ,1.13,1.74,69.781,0.1075,2.41749255,1.40785234518,0.192198359434,1736.90510821,0.0,0.0,0.0
900,K04136, 7256914,K04136.02,             ,1.13,1.74,69.781,0.6638,4.03358484,1.47955831214,0.290501785071,1460.15720504,1.44370532866,1.66849938793,17.5821384614
901,K04288, 4548011,K04288.02,             ,1.113,1.45,29.764,0.2186,9.0874933,0.885399819015,0.134235213661,1057.89458099,0.889329345,1.4461653603,22.7123787465
902,K04288, 4548011,K04288.01,Kepler-1581 b,1.113,1.45,29.764,0.1981,6.28385491,0.893258870985,0.131723442188,1197.10770353,0.0,0.0,0.0
903,K04382, 6937529,K04382.01,Kepler-1597 b,1.111,1.28,64.938,0.3175,2.94654179,0.991666946103,0.131482128419,1516.00414573,0.0,0.0,0.0
904,K04382, 6937529,K04382.02,             ,1.111,1.28,64.938,0.2076,3.98167088,0.860731491518,0.122660175927,1371.93522931,0.926199218811,1.35130304057,17.5449302776
905,K04385, 3645438,K04385.02,Kepler-1600 b,0.828,0.832,248.701,0.0592,386.370548,3.16391447394,0.290426313656,207.313177253,2.45519079167,52.9409193223,70.4205792759
906,K04385, 3645438,K04385.01,             ,0.828,0.832,248.701,0.633,7.2981458,1.74646710939,0.29046904378,778.302336211,0.0,0.0,0.0
907,K04647, 9947653,K04647.02,             ,1.151,2.29,61.512,0.4016,12.0086886,2.0522414548,0.328266326835,1051.70071939,0.0,0.0,0.0
908,K04647, 9947653,K04647.01,             ,1.151,2.29,61.512,0.4983,37.9046277,2.52823327401,0.389093504416,715.507606359,2.2902373644,3.15643355928,33.8127513145
